5 digit NTDID,4 digit NTDID,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
00001,0001,King County Department of Transportation - Metro Transit Division,CB,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,,,,,,,
00001,0001,King County Department of Transportation - Metro Transit Division,DR,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"11,838,586","1,103,355",10.73," $	750,659 "," $	61,423,955 ", $	55.67 , $	0.68 
00001,0001,King County Department of Transportation - Metro Transit Division,DT,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"772,903","86,383",8.95," $	509,850 "," $	1,300,039 ", $	15.05 , $	5.90 
00001,0001,King County Department of Transportation - Metro Transit Division,LR,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,,,,,,,
00001,0001,King County Department of Transportation - Metro Transit Division,LR,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,,,,,,,
00001,0001,King County Department of Transportation - Metro Transit Division,MB,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"484,205,078","97,702,516",4.96," $	122,535,567 "," $	431,308,402 ", $	4.41 , $	1.25 
00001,0001,King County Department of Transportation - Metro Transit Division,MB,PT,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"3,810,983","1,007,014",3.78," $	277,338 "," $	8,923,754 ", $	8.86 , $	0.28 
00001,0001,King County Department of Transportation - Metro Transit Division,RB,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,,,,,,,
00001,0001,King County Department of Transportation - Metro Transit Division,SR,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"653,531","760,933",0.86," $	761,610 "," $	3,089,936 ", $	4.06 , $	1.00 
00001,0001,King County Department of Transportation - Metro Transit Division,TB,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"35,187,039","19,008,029",1.85," $	23,166,653 "," $	61,469,418 ", $	3.23 , $	1.22 
00001,0001,King County Department of Transportation - Metro Transit Division,VP,DO,Active,Full Reporter: Operating,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"73,144,773","3,523,813",20.76," $	11,487,561 "," $	10,658,554 ", $	3.02 , $	3.26 
00002,0002,Spokane Transit Authority,DR,DO,Active,Full Reporter: Operating,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"405,302",2013,12,2013,"1,902,137","251,273",7.57," $	444,397 "," $	8,277,213 ", $	32.94 , $	1.77 
00002,0002,Spokane Transit Authority,DR,PT,Active,Full Reporter: Operating,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"405,302",2013,12,2013,"1,657,603","231,765",7.15," $	190,595 "," $	3,767,253 ", $	16.25 , $	0.82 
00002,0002,Spokane Transit Authority,MB,DO,Active,Full Reporter: Operating,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"405,302",2013,12,2013,"47,944,913","11,087,049",4.32," $	9,019,785 "," $	44,182,679 ", $	3.99 , $	0.81 
00002,0002,Spokane Transit Authority,VP,DO,Active,Full Reporter: Operating,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"405,302",2013,12,2013,"6,084,733","241,257",25.22," $	709,604 "," $	821,151 ", $	3.40 , $	2.94 
00003,0003,Pierce County Transportation Benefit Area Authority,DR,DO,Active,Full Reporter: Operating,Tacoma,WA,14,"Seattle, WA","1,010","3,059,393",292,"557,069",2013,12,2013,"826,548","114,577",7.21," $	95,710 "," $	5,995,486 ", $	52.33 , $	0.84 
