NTDID,Agency,Active,SSW,UZA,UZA Name,Modes,TOS,JAN02,FEB02,MAR02,APR02,MAY02,JUN02,JUL02,AUG02,SEP02,OCT02,NOV02,DEC02,JAN03,FEB03,MAR03,APR03,MAY03,JUN03,JUL03,AUG03,SEP03,OCT03,NOV03,DEC03,JAN04,FEB04,MAR04,APR04,MAY04,JUN04,JUL04,AUG04,SEP04,OCT04,NOV04,DEC04,JAN05,FEB05,MAR05,APR05,MAY05,JUN05,JUL05,AUG05,SEP05,OCT05,NOV05,DEC05,JAN06,FEB06,MAR06,APR06,MAY06,JUN06,JUL06,AUG06,SEP06,OCT06,NOV06,DEC06,JAN07,FEB07,MAR07,APR07,MAY07,JUN07,JUL07,AUG07,SEP07,OCT07,NOV07,DEC07,JAN08,FEB08,MAR08,APR08,MAY08,JUN08,JUL08,AUG08,SEP08,OCT08,NOV08,DEC08,JAN09,FEB09,MAR09,APR09,MAY09,JUN09,JUL09,AUG09,SEP09,OCT09,NOV09,DEC09,JAN10,FEB10,MAR10,APR10,MAY10,JUN10,JUL10,AUG10,SEP10,OCT10,NOV10,DEC10,JAN11,FEB11,MAR11,APR11,MAY11,JUN11,JUL11,AUG11,SEP11,OCT11,NOV11,DEC11,JAN12,FEB12,MAR12,APR12,MAY12,JUN12,JUL12,AUG12,SEP12,OCT12,NOV12,DEC12,JAN13,FEB13,MAR13,APR13,MAY13,JUN13,JUL13,AUG13,SEP13,OCT13,NOV13,DEC13,JAN14,FEB14,MAR14,APR14,MAY14,JUN14,JUL14,AUG14,SEP14,OCT14,NOV14,DEC14,JAN15
0001,King County Department of Transportation - Metro Transit Division,Active,N,14,"Seattle, WA",DR,PT,574,574,574,574,574,574,574,237,574,574,574,574,434,434,434,434,434,434,434,434,434,434,434,434,379,379,379,379,379,379,379,379,379,379,379,379,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,355,355,355,355,355,355,355,355,355,355,355,355,347,347,347,347,347,347,347,347,347,347,347,347,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,313,313,313,313,313,313,313,313,313,313,313,313,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
0001,King County Department of Transportation - Metro Transit Division,Active,N,14,"Seattle, WA",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
0001,King County Department of Transportation - Metro Transit Division,Active,N,14,"Seattle, WA",LR,DO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,King County Department of Transportation - Metro Transit Division,Active,N,14,"Seattle, WA",MB,DO,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,931,"1,183","1,183","1,183","1,183","1,183","1,183","1,183","1,183","1,183","1,183","1,183","1,183","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,185","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,156","1,156","1,156","1,156","1,156","1,156","1,156","1,156","1,156","1,156","1,156","1,156",943,943,943,943,943,943,943,943,943,943,943,943,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932,874,874,874,874,874,874,874,874,874,874,874,874,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951,951
0001,King County Department of Transportation - Metro Transit Division,Active,N,14,"Seattle, WA",MB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,35,35,35,35,35,35,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
0001,King County Department of Transportation - Metro Transit Division,Active,N,14,"Seattle, WA",SR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0001,King County Department of Transportation - Metro Transit Division,Active,N,14,"Seattle, WA",TB,DO,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,167,167,167,167,167,167,167,167,167,167,167,167,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,161,161,161,161,161,161,161,161,161,161,161,161,141,141,141,141,141,141,141,141,141,141,141,141,129,129,129,129,129,129,129,129,129,129,129,129,116,116,116,116,116,116,116,116,116,116,116,116,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
0001,King County Department of Transportation - Metro Transit Division,Active,N,14,"Seattle, WA",VP,DO,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,894,894,894,894,894,894,894,894,894,894,894,894,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,"1,273","1,273","1,273","1,273","1,273","1,273","1,273","1,273","1,273","1,273","1,273","1,273","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,137","1,137","1,137","1,137","1,137","1,137","1,137","1,137","1,137","1,137","1,137","1,137","1,010","1,010","1,010","1,010","1,010","1,010","1,010","1,010","1,010","1,010","1,010","1,010","1,154","1,154","1,154","1,154","1,154","1,154","1,154","1,154","1,154","1,154","1,154","1,154","1,291","1,291","1,291","1,291","1,291","1,291","1,291","1,291","1,291","1,291","1,291","1,291","1,342","1,342","1,342","1,342","1,342",1342,"1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342","1,342"
0002,Spokane Transit Authority,Active,N,96,"Spokane, WA",DR,DO,68,68,68,68,68,68,68,68,68,68,68,68,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,62,62,62,62,62,62,62,62,62,62,62,62,68,68,68,68,68,68,68,68,68,68,68,68,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,51,57,59,55,52,50,47,50,53,51,56,51,57,54,54,54,52,50,51,44,49,50,52,51,51,54,52,52,53,49,45,44,50,50,51,50,50
0002,Spokane Transit Authority,Active,N,96,"Spokane, WA",DR,PT,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,34,34,34,34,34,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41,41,41,41,41,41,41,43,38,42,42,39,40,42,41,40,41,43,47,48,45,43,41,41,41,43,45,46,45,47,44,45,44,43,45,44,42,41,42,41,42,43,42
0002,Spokane Transit Authority,Active,N,96,"Spokane, WA",MB,DO,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,122,122,122,122,122,122,122,122,122,124,124,124,124,124,124,124,124,124,124,124,124,124,111,111,111,111,111,111,111,111,111,111,111,111,116,116,119,117,119,117,109,109,116,116,117,117,142,142,142,142,142,142,142,152,152,152,152,152,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,120,120,120,120,120,120,120,120,120,120,120,120,113,112,112,112,113,113,113,113,114,114,114,114,114,111,111,111,111,111,111,111,111,111,112,112,111,112,112,112,112,110,110,102,110,110,110,110,110
0002,Spokane Transit Authority,Active,N,96,"Spokane, WA",VP,DO,34,34,34,34,34,34,34,34,34,34,34,34,30,30,30,30,30,30,30,30,30,30,31,32,37,37,37,37,37,37,37,37,37,44,44,44,44,44,44,44,44,44,44,44,44,47,47,47,46,46,46,46,46,46,46,46,46,46,46,46,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,94,94,94,94,94,94,94,94,94,94,94,94,79,79,79,79,79,79,79,79,79,79,79,79,82,82,85,86,87,90,90,89,90,90,90,92,92,93,95,97,98,101,97,100,97,95,95,94,95,93,92,92,92,92,92,91,93,95,94,98,96,95,97,97,96,95,93,93,95,98,99,99,97
0003,Pierce County Transportation Benefit Area Authority,Active,N,14,"Seattle, WA",DR,DO,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,31,33,32,32,31,31,31,31,31,30,30,30,29,32,30,32,32,32,32,31,31,30,31,31,31,31,32,31,31,31,31,31,31,31,32,31,31,31,31,31,31,31,31,31,32,33,33,34,36,33,35,36,33,36,35,35,33,33,33,33,33,34,33,33,34,32,33,33,34,33,32,32,33,33,33,32,32,34,33,33,33,33,34,32,33,33,33,35,32,34,32,33,33,34,33,34,34,35,33,34,33,25,26,25,26,26,26,25,26,27,26,25,26,31,30,30,30,31,30,29,29,30,29,30,29,28,29,30,30,30,29,29,29,29,29,29,30,30,29,29,30
0003,Pierce County Transportation Benefit Area Authority,Active,N,14,"Seattle, WA",DR,PT,68,59,63,69,67,69,69,64,59,66,66,67,61,55,54,61,60,64,70,65,66,78,66,59,75,75,74,73,74,76,72,73,74,53,52,52,48,47,49,49,48,46,50,48,50,51,49,47,44,53,56,52,47,48,51,51,53,55,54,51,76,77,76,82,75,74,80,78,82,82,82,82,85,81,81,82,82,86,85,82,85,83,87,87,86,90,85,89,87,88,87,89,97,88,92,83,87,81,82,84,83,77,79,81,90,84,88,84,87,79,83,69,87,81,82,82,81,74,66,65,66,68,64,65,63,65,63,61,61,58,59,59,61,59,58,58,56,54,55,55,55,55,57,59,56,56,56,55,55,55,56,55,54,57,57,57,57
0003,Pierce County Transportation Benefit Area Authority,Active,N,14,"Seattle, WA",MB,DO,177,177,177,177,177,181,181,181,181,187,191,191,191,199,199,199,199,197,197,195,194,194,194,194,194,191,191,191,191,192,192,192,192,198,198,198,135,133,133,133,133,135,135,135,135,135,135,135,135,137,137,137,137,138,138,138,139,139,139,139,144,144,146,146,146,146,148,148,148,158,158,158,158,162,162,162,162,162,162,162,162,162,162,162,162,163,163,163,163,163,163,149,153,153,153,153,153,151,151,151,151,151,151,151,151,151,151,151,151,151,115,115,115,118,118,118,118,104,104,104,104,104,104,104,104,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,106,106,106,106,106,112,112,112,112,120,120,120,120,113,113,113,113
0003,Pierce County Transportation Benefit Area Authority,Active,N,14,"Seattle, WA",VP,DO,208,208,208,208,208,208,208,216,216,216,216,216,250,250,250,250,250,250,250,250,270,270,270,270,269,269,269,269,270,270,270,270,284,284,284,284,284,284,284,289,289,289,291,300,300,300,300,300,261,261,261,261,261,261,261,261,261,261,261,263,263,263,263,263,263,263,263,260,265,268,270,270,274,275,277,277,279,279,287,288,288,290,291,291,291,285,290,289,290,291,290,290,291,291,293,291,292,293,293,293,293,290,292,292,292,293,292,291,289,292,293,293,293,293,293,293,293,293,292,291,293,294,294,295,295,294,295,301,300,301,306,306,306,306,309,311,313,314,313,311,311,309,306,307,308,308,308,311,306,305,306,306,308,308,309,308,303
0005,Everett Transit,Active,N,14,"Seattle, WA",DR,DO,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,18,18,18,19,19,19,18,18,18,18,18,18,19,21,22,18,19,19,18,18,19,19,19,19,19,19,19,18,19,19,18,19,19,18,18,19,20,20,20,19,19,19,19,19,20,19,19,20,20,19,20,19,18,18,19,18,18,18,18,18,18,19,20,19
0005,Everett Transit,Active,N,14,"Seattle, WA",MB,DO,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
0006,Yakima Transit,Active,N,248,"Yakima, WA",CB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
0006,Yakima Transit,Active,N,248,"Yakima, WA",DR,PT,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,0,0,0,0,0,0,18,18,18,17,17,18,18,18,18,19,18,18,15,15,15,16,16,14,15,16,17,18,18,18,19,19,19,19,19,20,20,20,20,20,20,20,19,19,19,19,19,19,20,20,20,24,23,24,18,17,18,19,19,19,18,19,19,19,19,22,20,21,23,21,21,20,20,20,23,22,22,21,26,26,26,22,22,22,22,24,22,23,23,23,25,27,25,26,27,28,28,30,30,30,29,30,29,28,29,28,28,29,29,26,27,26,28,24,,,,,,,,,,,,,26
0006,Yakima Transit,Active,N,248,"Yakima, WA",MB,DO,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,14,14,15,15,15,15,18,19,18,18,18,19,18,18,19,18,19,19,19,19,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18,18,18,19,18,20,20,20,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,20,20,18,18,18,19,19,19,19,19,17,19,19,19,19,19,19,19,19,19,19,19,16,16,20,20,20,19,,,,,,,,,,,,,19
0006,Yakima Transit,Active,N,248,"Yakima, WA",VP,DO,,,,,,,,,,,,,7,7,7,6,7,6,7,7,7,7,8,9,8,9,9,0,0,0,0,0,0,0,0,0,12,12,12,12,11,11,11,10,11,11,12,12,11,10,10,11,10,14,14,13,13,12,12,12,15,15,15,15,15,14,15,16,16,16,17,16,17,17,17,18,22,25,25,26,26,24,25,25,22,21,20,22,21,21,21,20,20,20,19,19,19,20,20,22,24,24,26,26,27,27,26,25,25,25,26,30,30,30,30,29,27,26,26,23,22,23,23,23,24,24,24,24,25,25,23,21,23,23,22,22,23,22,21,21,20,20,20,18,,,,,,,,,,,,,19
