NTDID,Agency,Modes,TOS,Estimate,Month,Year
0001,King County Department of Transportation - Metro Transit Division,DR,PT,"82,325",August,2014
0001,King County Department of Transportation - Metro Transit Division,DR,PT,"82,364",September,2014
0001,King County Department of Transportation - Metro Transit Division,DR,PT,"18,045",October,2014
0001,King County Department of Transportation - Metro Transit Division,DT,PT,"6,921",August,2014
0001,King County Department of Transportation - Metro Transit Division,DT,PT,"5,685",September,2014
0001,King County Department of Transportation - Metro Transit Division,DT,PT,"5,232",October,2014
0001,King County Department of Transportation - Metro Transit Division,MB,DO,"8,012,581",August,2014
0001,King County Department of Transportation - Metro Transit Division,MB,DO,"8,402,206",September,2014
0001,King County Department of Transportation - Metro Transit Division,MB,DO,"7,436,682",October,2014
0001,King County Department of Transportation - Metro Transit Division,MB,PT,"101,601",August,2014
0001,King County Department of Transportation - Metro Transit Division,MB,PT,"106,542",September,2014
0001,King County Department of Transportation - Metro Transit Division,MB,PT,"94,299",October,2014
0001,King County Department of Transportation - Metro Transit Division,SR,DO,"58,278",August,2014
0001,King County Department of Transportation - Metro Transit Division,SR,DO,"64,491",September,2014
0001,King County Department of Transportation - Metro Transit Division,SR,DO,"72,055",October,2014
0001,King County Department of Transportation - Metro Transit Division,TB,DO,"1,336,522",August,2014
0001,King County Department of Transportation - Metro Transit Division,TB,DO,"1,476,025",September,2014
0001,King County Department of Transportation - Metro Transit Division,TB,DO,"1,503,254",October,2014
0001,King County Department of Transportation - Metro Transit Division,VP,DO,"233,409",August,2014
0001,King County Department of Transportation - Metro Transit Division,VP,DO,"238,173",September,2014
0001,King County Department of Transportation - Metro Transit Division,VP,DO,"218,983",October,2014
0006,Yakima Transit,VP,DO,"5,191",October,2014
0007,Lane Transit District,DR,PT,"16,868",August,2014
0007,Lane Transit District,DR,PT,"16,876",September,2014
0007,Lane Transit District,DR,PT,"3,697",October,2014
0007,Lane Transit District,DT,PT,"16,072",August,2014
0007,Lane Transit District,DT,PT,"13,202",September,2014
0007,Lane Transit District,DT,PT,"12,149",October,2014
0007,Lane Transit District,MB,DO,"554,979",August,2014
0007,Lane Transit District,MB,DO,"581,966",September,2014
0007,Lane Transit District,MB,DO,"515,090",October,2014
0007,Lane Transit District,MB,PT,"1,354",August,2014
0007,Lane Transit District,MB,PT,"1,420",September,2014
0007,Lane Transit District,MB,PT,"1,257",October,2014
0007,Lane Transit District,RB,DO,"248,618",August,2014
0007,Lane Transit District,RB,DO,"276,920",September,2014
0007,Lane Transit District,RB,DO,"242,468",October,2014
0007,Lane Transit District,VP,PT,"3,568",August,2014
0007,Lane Transit District,VP,PT,"3,641",September,2014
0007,Lane Transit District,VP,PT,"3,348",October,2014
