NTDID,Agency,Mode,TOS,Active,Small Systems Waiver,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
0001,King County Department of Transportation - Metro Transit Division,DR,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"11,838,586","1,103,355",10.73," $	750,659 "," $	61,423,955 ", $	55.67 , $	0.68 
0001,King County Department of Transportation - Metro Transit Division,DT,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"772,903","86,383",8.95," $	509,850 "," $	1,300,039 ", $	15.05 , $	5.90 
0001,King County Department of Transportation - Metro Transit Division,LR,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,,,,,,,
0001,King County Department of Transportation - Metro Transit Division,MB,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"484,205,078","97,702,516",4.96," $	122,535,567 "," $	431,308,402 ", $	4.41 , $	1.25 
0001,King County Department of Transportation - Metro Transit Division,MB,PT,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"3,810,983","1,007,014",3.78," $	277,338 "," $	8,923,754 ", $	8.86 , $	0.28 
0001,King County Department of Transportation - Metro Transit Division,SR,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"653,531","760,933",0.86," $	761,610 "," $	3,089,936 ", $	4.06 , $	1.00 
0001,King County Department of Transportation - Metro Transit Division,TB,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"35,187,039","19,008,029",1.85," $	23,166,653 "," $	61,469,418 ", $	3.23 , $	1.22 
0001,King County Department of Transportation - Metro Transit Division,VP,DO,Active,N,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,044,449",2013,12,2013,"73,144,773","3,523,813",20.76," $	11,487,561 "," $	10,658,554 ", $	3.02 , $	3.26 
0002,Spokane Transit Authority,DR,DO,Active,N,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"405,302",2013,12,2013,"1,902,137","251,273",7.57," $	444,397 "," $	8,277,213 ", $	32.94 , $	1.77 
0002,Spokane Transit Authority,DR,PT,Active,N,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"405,302",2013,12,2013,"1,657,603","231,765",7.15," $	190,595 "," $	3,767,253 ", $	16.25 , $	0.82 
0002,Spokane Transit Authority,MB,DO,Active,N,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"405,302",2013,12,2013,"47,944,913","11,087,049",4.32," $	9,019,785 "," $	44,182,679 ", $	3.99 , $	0.81 
0002,Spokane Transit Authority,VP,DO,Active,N,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"405,302",2013,12,2013,"6,084,733","241,257",25.22," $	709,604 "," $	821,151 ", $	3.40 , $	2.94 
0003,Pierce County Transportation Benefit Area Authority,DR,DO,Active,N,Tacoma,WA,14,"Seattle, WA","1,010","3,059,393",292,"557,069",2013,12,2013,"826,548","114,577",7.21," $	95,710 "," $	5,995,486 ", $	52.33 , $	0.84 
0003,Pierce County Transportation Benefit Area Authority,DR,PT,Active,N,Tacoma,WA,14,"Seattle, WA","1,010","3,059,393",292,"557,069",2013,12,2013,"1,958,652","256,725",7.63," $	169,952 "," $	10,614,230 ", $	41.34 , $	0.66 
0003,Pierce County Transportation Benefit Area Authority,MB,DO,Active,N,Tacoma,WA,14,"Seattle, WA","1,010","3,059,393",292,"557,069",2013,12,2013,"41,682,045","10,349,186",4.03," $	8,952,627 "," $	49,166,871 ", $	4.75 , $	0.87 
0003,Pierce County Transportation Benefit Area Authority,VP,DO,Active,N,Tacoma,WA,14,"Seattle, WA","1,010","3,059,393",292,"557,069",2013,12,2013,"25,777,961","926,359",27.83," $	3,047,890 "," $	4,139,555 ", $	4.47 , $	3.29 
0005,Everett Transit,DR,DO,Active,N,Everett,WA,14,"Seattle, WA","1,010","3,059,393",34,"104,643",2013,12,2013,"697,020","113,008",6.17," $	106,263 "," $	5,144,959 ", $	45.53 , $	0.94 
0005,Everett Transit,MB,DO,Active,N,Everett,WA,14,"Seattle, WA","1,010","3,059,393",34,"104,643",2013,12,2013,"7,314,826","2,004,062",3.65," $	1,507,463 "," $	13,427,819 ", $	6.70 , $	0.75 
0006,Yakima Transit,CB,PT,Active,N,Yakima,WA,248,"Yakima, WA",60,"129,534",33,"98,214",2013,12,2013,,,,,,,
0006,Yakima Transit,DR,PT,Active,N,Yakima,WA,248,"Yakima, WA",60,"129,534",33,"98,214",2013,12,2013,"259,354","74,697",3.47," $	118,499 "," $	1,276,618 ", $	17.09 , $	1.59 
0006,Yakima Transit,MB,DO,Active,N,Yakima,WA,248,"Yakima, WA",60,"129,534",33,"98,214",2013,12,2013,"3,829,857","1,270,755",3.01," $	873,269 "," $	6,175,199 ", $	4.86 , $	0.69 
0006,Yakima Transit,VP,DO,Active,N,Yakima,WA,248,"Yakima, WA",60,"129,534",33,"98,214",2013,12,2013,"4,493,768","73,817",60.88," $	255,610 "," $	322,558 ", $	4.37 , $	3.46 
0007,Lane Transit District,DR,PT,Active,N,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"1,868,180","203,926",9.16," $	288,504 "," $	5,428,616 ", $	26.62 , $	1.41 
0007,Lane Transit District,DT,PT,Active,N,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"954,575","113,871",8.38, $	-00 ," $	4,305,354 ", $	37.81 , $	-00 
0007,Lane Transit District,MB,DO,Active,N,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"34,088,599","8,569,194",3.98," $	5,254,293 "," $	29,195,808 ", $	3.41 , $	0.61 
0007,Lane Transit District,MB,PT,Active,N,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"667,395","15,938",41.87," $	38,594 "," $	174,103 ", $	10.92 , $	2.42 
0007,Lane Transit District,RB,DO,Active,N,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"7,840,004","2,707,309",2.90," $	1,660,015 "," $	5,583,993 ", $	2.06 , $	0.61 
0007,Lane Transit District,VP,PT,Active,N,Eugene,OR,151,"Eugene, OR",87,"247,421",482,"297,500",2013,6,2013,"2,066,080","35,813",57.69," $	127,274 "," $	189,187 ", $	5.28 , $	3.55 
0008,Tri-County Metropolitan Transportation District of Oregon,CR,PT,Active,N,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,,,,,,,
0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Active,N,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"9,200,402","929,550",9.90," $	3,708,623 "," $	32,176,213 ", $	34.61 , $	3.99 
0008,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Active,N,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"1,072,637","108,150",9.92," $	431,486 "," $	3,409,839 ", $	31.53 , $	3.99 
0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Active,N,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"216,270,097","39,174,406",5.52," $	46,442,818 "," $	99,326,676 ", $	2.54 , $	1.19 
0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Active,N,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"230,817,729","58,662,016",3.93," $	63,818,606 "," $	239,125,561 ", $	4.08 , $	1.09 
0008,Tri-County Metropolitan Transportation District of Oregon,SR,DO,Active,N,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,,,,,,,
0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Active,N,Portland,OR,24,"Portland, OR-WA",524,"1,849,898",570,"1,489,796",2013,6,2013,"3,552,562","441,926",8.04," $	467,838 "," $	7,036,033 ", $	15.92 , $	1.06 
0011,Valley Regional Transit,DR,DO,Active,N,Meridian,ID,108,"Boise City, ID",134,"349,684",66,"349,684",2013,9,2013,"368,607","46,167",7.98," $	86,154 "," $	1,289,329 ", $	27.93 , $	1.87 
0011,Valley Regional Transit,DR,PT,Active,N,Meridian,ID,108,"Boise City, ID",134,"349,684",66,"349,684",2013,9,2013,,,,,,,
0011,Valley Regional Transit,MB,DO,Active,N,Meridian,ID,108,"Boise City, ID",134,"349,684",66,"349,684",2013,9,2013,"9,175,402","1,454,105",6.31," $	906,723 "," $	7,233,541 ", $	4.97 , $	0.62 
0011,Valley Regional Transit,MB,PT,Active,N,Meridian,ID,108,"Boise City, ID",134,"349,684",66,"349,684",2013,9,2013,,,,,,,
0012,Municipality of Anchorage - Public Transportation Department,DR,PT,Active,N,Anchorage,AK,149,"Anchorage, AK",85,"251,243",77,"245,069",2013,12,2013,"922,877","184,021",5.02," $	1,237,847 "," $	6,216,617 ", $	33.78 , $	6.73 
0012,Municipality of Anchorage - Public Transportation Department,MB,DO,Active,N,Anchorage,AK,149,"Anchorage, AK",85,"251,243",77,"245,069",2013,12,2013,"19,307,313","3,986,877",4.84," $	4,265,961 "," $	23,530,609 ", $	5.90 , $	1.07 
0012,Municipality of Anchorage - Public Transportation Department,VP,PT,Active,N,Anchorage,AK,149,"Anchorage, AK",85,"251,243",77,"245,069",2013,12,2013,,,," $	643,117 "," $	1,141,235 ",,
0016,RiverCities Transit,DR,PT,Active,N,Longview,WA,431,"Longview, WA-OR",33,"63,952",23,"48,573",2013,12,2013,"190,019","59,381",3.20," $	20,288 "," $	1,305,552 ", $	21.99 , $	0.34 
0016,RiverCities Transit,MB,DO,Active,N,Longview,WA,431,"Longview, WA-OR",33,"63,952",23,"48,573",2013,12,2013,"1,679,995","359,742",4.67," $	123,942 "," $	2,663,089 ", $	7.40 , $	0.34 
0018,Ben Franklin Transit,DR,DO,Active,N,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"1,846,310","308,232",5.99," $	261,144 "," $	11,101,162 ", $	36.02 , $	0.85 
0018,Ben Franklin Transit,DR,PT,Active,N,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"409,349","69,499",5.89," $	31,275 "," $	927,320 ", $	13.34 , $	0.45 
0018,Ben Franklin Transit,DT,PT,Active,N,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"564,282","88,883",6.35," $	99,954 "," $	1,695,371 ", $	19.07 , $	1.12 
0018,Ben Franklin Transit,MB,DO,Active,N,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"20,980,821","2,789,196",7.52," $	1,277,604 "," $	13,751,054 ", $	4.93 , $	0.46 
0018,Ben Franklin Transit,VP,DO,Active,N,Richland,WA,171,"Kennewick-Pasco, WA",102,"210,975",80,"222,392",2013,12,2013,"27,594,822","861,586",32.03," $	2,156,253 "," $	2,885,367 ", $	3.35 , $	2.50 
0019,Intercity Transit,CB,DO,Active,N,Olympia,WA,195,"Olympia-Lacey, WA",106,"176,617",97,"161,000",2013,12,2013,"5,493,027","211,686",25.95," $	387,089 "," $	1,980,268 ", $	9.35 , $	1.83 
0019,Intercity Transit,DR,DO,Active,N,Olympia,WA,195,"Olympia-Lacey, WA",106,"176,617",97,"161,000",2013,12,2013,"938,790","156,477",6.00," $	210,126 "," $	7,234,090 ", $	46.23 , $	1.34 
0019,Intercity Transit,MB,DO,Active,N,Olympia,WA,195,"Olympia-Lacey, WA",106,"176,617",97,"161,000",2013,12,2013,"14,322,880","4,222,385",3.39," $	2,463,042 "," $	21,294,504 ", $	5.04 , $	0.58 
0019,Intercity Transit,VP,DO,Active,N,Olympia,WA,195,"Olympia-Lacey, WA",106,"176,617",97,"161,000",2013,12,2013,"26,612,743","761,597",34.94," $	1,845,933 "," $	1,970,044 ", $	2.59 , $	2.42 
0020,Kitsap Transit,DR,DO,Active,N,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"1,671,289","283,598",5.89," $	298,168 "," $	9,723,702 ", $	34.29 , $	1.05 
0020,Kitsap Transit,DT,PT,Active,N,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"1,156",118,9.80, $	248 ," $	4,928 ", $	41.76 , $	2.10 
0020,Kitsap Transit,FB,PT,Active,N,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"704,109","450,732",1.56," $	779,834 "," $	2,176,747 ", $	4.83 , $	1.73 
0020,Kitsap Transit,MB,DO,Active,N,Bremerton,WA,180,"Bremerton, WA",136,"198,979",396,"251,133",2013,12,2013,"15,084,954","2,967,591",5.08," $	5,145,340 "," $	17,350,322 ", $	5.85 , $	1.73 
