NTDID,Agency,Modes,TOS,Estimate,Month,Year
0001,King County Department of Transportation - Metro Transit Division,DR,PT,"81,119",August,2014
0001,King County Department of Transportation - Metro Transit Division,DR,PT,"75,797",September,2014
0001,King County Department of Transportation - Metro Transit Division,DT,PT,"6,329",August,2014
0001,King County Department of Transportation - Metro Transit Division,DT,PT,"4,674",September,2014
0001,King County Department of Transportation - Metro Transit Division,MB,DO,"7,525,753",August,2014
0001,King County Department of Transportation - Metro Transit Division,MB,DO,"7,542,909",September,2014
0001,King County Department of Transportation - Metro Transit Division,MB,PT,"95,428",August,2014
0001,King County Department of Transportation - Metro Transit Division,MB,PT,"95,646",September,2014
0001,King County Department of Transportation - Metro Transit Division,SR,DO,"56,980",August,2014
0001,King County Department of Transportation - Metro Transit Division,SR,DO,"62,896",September,2014
0001,King County Department of Transportation - Metro Transit Division,TB,DO,"1,336,522",August,2014
0001,King County Department of Transportation - Metro Transit Division,TB,DO,"1,420,421",September,2014
0001,King County Department of Transportation - Metro Transit Division,VP,DO,"229,512",August,2014
0001,King County Department of Transportation - Metro Transit Division,VP,DO,"209,620",September,2014
0006,Yakima Transit,CB,PT,793,August,2014
0006,Yakima Transit,CB,PT,808,September,2014
0006,Yakima Transit,MB,DO,"67,396",August,2014
0006,Yakima Transit,MB,DO,"67,550",September,2014
0006,Yakima Transit,VP,DO,"4,942",August,2014
0006,Yakima Transit,VP,DO,"4,514",September,2014
0007,Lane Transit District,DR,PT,"16,622",August,2014
0007,Lane Transit District,DR,PT,"15,531",September,2014
0007,Lane Transit District,DT,PT,"14,697",August,2014
0007,Lane Transit District,DT,PT,"10,854",September,2014
0007,Lane Transit District,MB,DO,"521,259",August,2014
0007,Lane Transit District,MB,DO,"522,447",September,2014
0007,Lane Transit District,MB,PT,"1,272",August,2014
0007,Lane Transit District,MB,PT,"1,275",September,2014
0007,Lane Transit District,RB,DO,"233,188",August,2014
0007,Lane Transit District,RB,DO,"244,284",September,2014
0007,Lane Transit District,VP,PT,"3,508",August,2014
0007,Lane Transit District,VP,PT,"3,204",September,2014
0028,Pierce County Ferry Operations,FB,PT,"9,790",September,2014
0035,Washington State Ferries,FB,DO,"1,158,382",September,2014
0040,Central Puget Sound Regional Transit Authority,CB,DO,"648,251",August,2014
0040,Central Puget Sound Regional Transit Authority,CB,DO,"660,468",September,2014
0040,Central Puget Sound Regional Transit Authority,CB,PT,"164,191",August,2014
0040,Central Puget Sound Regional Transit Authority,CB,PT,"167,285",September,2014
0040,Central Puget Sound Regional Transit Authority,CR,PT,"216,045",August,2014
0040,Central Puget Sound Regional Transit Authority,CR,PT,"207,644",September,2014
0040,Central Puget Sound Regional Transit Authority,LR,DO,"1,046,800",August,2014
0040,Central Puget Sound Regional Transit Authority,LR,DO,"970,123",September,2014
0040,Central Puget Sound Regional Transit Authority,SR,DO,"55,482",August,2014
0040,Central Puget Sound Regional Transit Authority,SR,DO,"61,242",September,2014
0049,"vRide, Inc. - Anchorage",VP,DO,"14,732",August,2014
0049,"vRide, Inc. - Anchorage",VP,DO,"13,455",September,2014
0054,King County Ferry District,FB,DO,"30,712",September,2014
0057,Central Oregon Intergovernmental Council,CB,DO,"2,201",August,2014
0057,Central Oregon Intergovernmental Council,CB,DO,"2,242",September,2014
0057,Central Oregon Intergovernmental Council,DR,DO,"4,287",August,2014
0057,Central Oregon Intergovernmental Council,DR,DO,"4,006",September,2014
0057,Central Oregon Intergovernmental Council,DR,PT,"4,328",August,2014
0057,Central Oregon Intergovernmental Council,DR,PT,"4,044",September,2014
0057,Central Oregon Intergovernmental Council,MB,PT,"26,123",August,2014
0057,Central Oregon Intergovernmental Council,MB,PT,"26,183",September,2014
1007,Berkshire Regional Transit Authority,DR,PT,"2,007",August,2014
1007,Berkshire Regional Transit Authority,DR,PT,"1,875",September,2014
1007,Berkshire Regional Transit Authority,MB,PT,"42,899",August,2014
1007,Berkshire Regional Transit Authority,MB,PT,"42,997",September,2014
1013,Merrimack Valley Regional Transit Authority,CB,PT,"2,922",August,2014
1013,Merrimack Valley Regional Transit Authority,CB,PT,"2,977",September,2014
1013,Merrimack Valley Regional Transit Authority,DR,PT,"5,573",August,2014
1013,Merrimack Valley Regional Transit Authority,DR,PT,"5,207",September,2014
1013,Merrimack Valley Regional Transit Authority,MB,PT,"146,237",August,2014
1013,Merrimack Valley Regional Transit Authority,MB,PT,"146,570",September,2014
