NTDID,Agency,Modes,TOS,Estimate,Month,Year
0011,Valley Regional Transit,DR,DO,"4,248",December,2014
0011,Valley Regional Transit,MB,DO,"113,928",December,2014
0057,Central Oregon Intergovernmental Council,CB,DO,"6,147",December,2014
0057,Central Oregon Intergovernmental Council,DR,DO,"3,900",December,2014
0057,Central Oregon Intergovernmental Council,DR,PT,"3,730",December,2014
0057,Central Oregon Intergovernmental Council,MB,PT,"24,901",December,2014
1013,Merrimack Valley Regional Transit Authority,CB,PT,"4,939",December,2014
1013,Merrimack Valley Regional Transit Authority,DR,PT,"5,578",December,2014
1013,Merrimack Valley Regional Transit Authority,MB,PT,"156,095",December,2014
1040,Southeast Area Transit,DR,PT,399,December,2014
1040,Southeast Area Transit,MB,DO,"103,276",December,2014
1051,Housatonic Area Regional Transit,DR,DO,"4,923",December,2014
1051,Housatonic Area Regional Transit,MB,DO,"62,119",December,2014
1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,VP,DO,"45,643",December,2014
1117,Plymouth & Brockton Street Railway Company,CB,DO,"38,770",December,2014
2006,City of Long Beach,MB,DO,"35,313",December,2014
3007,Greater Roanoke Transit Company,CB,DO,"1,682",December,2014
3007,Greater Roanoke Transit Company,DR,PT,"6,926",December,2014
3007,Greater Roanoke Transit Company,MB,DO,"183,007",December,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"35,849",July,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"35,080",August,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"35,850",September,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"39,307",October,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"33,483",November,2014
3010,Lehigh and Northampton Transportation Authority,DR,PT,"34,402",December,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"418,896",July,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"416,601",August,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"450,100",September,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"479,891",October,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"407,777",November,2014
3010,Lehigh and Northampton Transportation Authority,MB,DO,"399,011",December,2014
3015,Luzerne County Transportation Authority,DR,DO,"13,051",December,2014
3015,Luzerne County Transportation Authority,DR,PT,522,August,2014
3015,Luzerne County Transportation Authority,DR,PT,533,September,2014
