NTDID,Agency,MODE,TOS,Active,HQ City,HQ State,UZA,UZAName,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
0001,King County Department of Transportation - Metro Transit Division,DR,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,931,249",2010,12,2010,"12,191,403","1,177,175",10.4,"$308,539","$56,008,586",$47.60,$0.30
0001,King County Department of Transportation - Metro Transit Division,DT,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,931,249",2010,12,2010,"640,641","80,727",7.9,"$323,133","$705,160",$8.70,$4.00
0001,King County Department of Transportation - Metro Transit Division,LR,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,931,249",2010,12,2010,"471,587","520,933",0.9,"$288,470","$2,281,393",$4.40,$0.60
0001,King County Department of Transportation - Metro Transit Division,MB,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,931,249",2010,12,2010,"419,705,253","87,470,767",4.8,"$99,604,752","$379,189,938",$4.30,$1.10
0001,King County Department of Transportation - Metro Transit Division,MB,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,931,249",2010,12,2010,"2,626,668","817,030",3.2,"$11,109,150","$53,103,585",$65.00,$13.60
0001,King County Department of Transportation - Metro Transit Division,RB,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,931,249",2010,12,2010,0,0,0.0,$0,$0,$0.00,$0.00
0001,King County Department of Transportation - Metro Transit Division,SR,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,931,249",2010,12,2010,0,0,0.0,$0,$0,$0.00,$0.00
0001,King County Department of Transportation - Metro Transit Division,TB,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,931,249",2010,12,2010,"36,274,352","20,721,095",1.8,"$20,112,498","$58,164,044",$2.80,$1.00
0001,King County Department of Transportation - Metro Transit Division,VP,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","2,134","1,931,249",2010,12,2010,"58,134,010","2,849,585",20.4,"$8,728,042","$9,101,324",$3.20,$3.10
0002,Spokane Transit Authority,DR,DO,Active,Spokane,WA,93,"Spokane, WA-ID",143,"334,858",248,"394,120",2010,12,2010,"2,043,256","258,640",7.9,"$321,332","$8,019,464",$31.00,$1.20
0002,Spokane Transit Authority,DR,PT,Active,Spokane,WA,93,"Spokane, WA-ID",143,"334,858",248,"394,120",2010,12,2010,"1,876,656","258,552",7.3,"$82,792","$4,215,627",$16.30,$0.30
0002,Spokane Transit Authority,MB,DO,Active,Spokane,WA,93,"Spokane, WA-ID",143,"334,858",248,"394,120",2010,12,2010,"43,652,188","10,710,528",4.1,"$8,382,949","$43,709,912",$4.10,$0.80
0002,Spokane Transit Authority,VP,DO,Active,Spokane,WA,93,"Spokane, WA-ID",143,"334,858",248,"394,120",2010,12,2010,"5,095,188","208,480",24.4,"$556,453","$649,500",$3.10,$2.70
0003,Pierce County Transportation Benefit Area Authority,DR,DO,Active,Tacoma,WA,14,"Seattle, WA",954,"2,712,205",414,"758,510",2010,12,2010,"981,569","124,936",7.9,"$103,634","$6,086,477",$48.70,$0.80
0003,Pierce County Transportation Benefit Area Authority,DR,PT,Active,Tacoma,WA,14,"Seattle, WA",954,"2,712,205",414,"758,510",2010,12,2010,"2,628,619","321,515",8.2,"$266,697","$11,511,162",$35.80,$0.80
0003,Pierce County Transportation Benefit Area Authority,MB,DO,Active,Tacoma,WA,14,"Seattle, WA",954,"2,712,205",414,"758,510",2010,12,2010,"50,164,026","14,008,691",3.6,"$11,619,743","$70,530,435",$5.00,$0.80
0003,Pierce County Transportation Benefit Area Authority,VP,DO,Active,Tacoma,WA,14,"Seattle, WA",954,"2,712,205",414,"758,510",2010,12,2010,"27,273,150","825,308",33.0,"$2,514,731","$4,315,981",$5.20,$3.00
0005,Everett Transit,DR,DO,Active,Everett,WA,14,"Seattle, WA",954,"2,712,205",34,"105,000",2010,12,2010,"621,570","113,581",5.5,"$104,512","$3,845,806",$33.90,$0.90
0005,Everett Transit,MB,DO,Active,Everett,WA,14,"Seattle, WA",954,"2,712,205",34,"105,000",2010,12,2010,"8,838,110","2,289,587",3.9,"$1,206,313","$14,240,792",$6.20,$0.50
0006,Yakima Transit,DR,PT,Active,Yakima,WA,235,"Yakima, WA",50,"112,816",28,"92,035",2010,12,2010,"305,189","87,484",3.5,"$130,944","$1,330,026",$15.20,$1.50
0006,Yakima Transit,MB,DO,Active,Yakima,WA,235,"Yakima, WA",50,"112,816",28,"92,035",2010,12,2010,"3,693,726","1,312,116",2.8,"$534,590","$5,760,027",$4.40,$0.40
0006,Yakima Transit,VP,DO,Active,Yakima,WA,235,"Yakima, WA",50,"112,816",28,"92,035",2010,12,2010,"5,217,495","101,768",51.3,"$225,310","$330,517",$3.20,$2.20
0007,Lane Transit District,DR,PT,Active,Eugene,OR,136,"Eugene, OR",68,"224,049",241,"293,100",2010,6,2010,"1,581,276","179,311",8.8,"$246,257","$4,324,563",$24.10,$1.40
0007,Lane Transit District,DT,PT,Active,Eugene,OR,136,"Eugene, OR",68,"224,049",241,"293,100",2010,6,2010,"760,740","94,939",8.0,$0,"$3,508,410",$37.00,$0.00
0007,Lane Transit District,MB,DO,Active,Eugene,OR,136,"Eugene, OR",68,"224,049",241,"293,100",2010,6,2010,"40,963,697","11,349,579",3.6,"$7,032,027","$33,191,426",$2.90,$0.60
0007,Lane Transit District,MB,PT,Active,Eugene,OR,136,"Eugene, OR",68,"224,049",241,"293,100",2010,6,2010,"583,656","12,896",45.3,"$32,757","$125,632",$9.70,$2.50
0007,Lane Transit District,RB,DO,Active,Eugene,OR,136,"Eugene, OR",68,"224,049",241,"293,100",2010,6,2010,0,0,0.0,$0,$0,$0.00,$0.00
0007,Lane Transit District,VP,PT,Active,Eugene,OR,136,"Eugene, OR",68,"224,049",241,"293,100",2010,6,2010,"2,136,389","31,714",67.4,"$80,679","$134,778",$4.20,$2.50
0008,Tri-County Metropolitan Transportation District of Oregon,CR,PT,Active,Portland,OR,23,"Portland, OR-WA",474,"1,583,138",570,"1,512,490",2010,6,2010,"2,558,105","306,228",8.4,"$311,656","$6,245,998",$20.40,$1.00
0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Active,Portland,OR,23,"Portland, OR-WA",474,"1,583,138",570,"1,512,490",2010,6,2010,"9,251,033","966,929",9.6,"$4,027,942","$29,854,742",$30.90,$4.20
0008,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Active,Portland,OR,23,"Portland, OR-WA",474,"1,583,138",570,"1,512,490",2010,6,2010,"1,117,210","105,776",10.6,"$424,965","$3,459,956",$32.70,$4.00
0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Active,Portland,OR,23,"Portland, OR-WA",474,"1,583,138",570,"1,512,490",2010,6,2010,"208,779,167","42,452,640",4.9,"$36,908,552","$106,374,746",$2.50,$0.90
0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Active,Portland,OR,23,"Portland, OR-WA",474,"1,583,138",570,"1,512,490",2010,6,2010,"231,580,852","60,508,249",3.8,"$54,468,361","$239,080,000",$4.00,$0.90
0008,Tri-County Metropolitan Transportation District of Oregon,SR,DO,Active,Portland,OR,23,"Portland, OR-WA",474,"1,583,138",570,"1,512,490",2010,6,2010,0,0,0.0,$0,$0,$0.00,$0.00
0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Active,Portland,OR,23,"Portland, OR-WA",474,"1,583,138",570,"1,512,490",2010,6,2010,0,0,0.0,$0,$0,$0.00,$0.00
0011,Valley Regional Transit,DR,DO,Active,Meridian,ID,116,"Boise City, ID",109,"272,625",66,"272,625",2010,9,2010,"258,292","40,884",6.3,"$64,402","$1,043,735",$25.50,$1.60
0011,Valley Regional Transit,DR,PT,Active,Meridian,ID,116,"Boise City, ID",109,"272,625",66,"272,625",2010,9,2010,"11,867","1,832",6.5,"$3,620","$93,148",$50.80,$2.00
0011,Valley Regional Transit,MB,DO,Active,Meridian,ID,116,"Boise City, ID",109,"272,625",66,"272,625",2010,9,2010,"5,073,149","1,203,205",4.2,"$746,074","$5,890,974",$4.90,$0.60
0011,Valley Regional Transit,MB,PT,Active,Meridian,ID,116,"Boise City, ID",109,"272,625",66,"272,625",2010,9,2010,"2,599,628","172,390",15.1,"$148,617","$1,181,496",$6.90,$0.90
0012,Municipality of Anchorage - Public Transportation Department,DR,PT,Active,Anchorage,AK,135,"Anchorage, AK",79,"225,744",77,"218,145",2010,12,2010,"1,287,393","197,756",6.5,"$1,538,561","$5,586,875",$28.30,$7.80
0012,Municipality of Anchorage - Public Transportation Department,MB,DO,Active,Anchorage,AK,135,"Anchorage, AK",79,"225,744",77,"218,145",2010,12,2010,"18,509,750","4,145,569",4.5,"$3,774,194","$20,675,789",$5.00,$0.90
0012,Municipality of Anchorage - Public Transportation Department,VP,PT,Active,Anchorage,AK,135,"Anchorage, AK",79,"225,744",77,"218,145",2010,12,2010,0,0,0.0,"$345,266","$883,188",$0.00,$0.00
0016,Community Urban Bus Service,DR,PT,Active,Longview,WA,378,"Longview, WA-OR",27,"60,443",21,"46,210",2010,12,2010,"194,742","55,858",3.5,"$13,892","$1,019,513",$18.30,$0.20
0016,Community Urban Bus Service,MB,DO,Active,Longview,WA,378,"Longview, WA-OR",27,"60,443",21,"46,210",2010,12,2010,"1,655,766","396,145",4.2,"$127,443","$1,571,471",$4.00,$0.30
0018,Ben Franklin Transit,DR,DO,Active,Richland,WA,188,"Kennewick-Richland, WA",85,"153,851",80,"150,000",2010,12,2010,"1,565,649","364,803",4.3,"$283,732","$10,227,486",$28.00,$0.80
0018,Ben Franklin Transit,DR,PT,Active,Richland,WA,188,"Kennewick-Richland, WA",85,"153,851",80,"150,000",2010,12,2010,"396,780","67,320",5.9,$10,"$668,324",$9.90,$0.00
0018,Ben Franklin Transit,DT,PT,Active,Richland,WA,188,"Kennewick-Richland, WA",85,"153,851",80,"150,000",2010,12,2010,"588,978","81,599",7.2,"$95,299","$1,713,932",$21.00,$1.20
0018,Ben Franklin Transit,MB,DO,Active,Richland,WA,188,"Kennewick-Richland, WA",85,"153,851",80,"150,000",2010,12,2010,"23,891,664","3,299,955",7.2,"$1,303,603","$12,371,140",$3.70,$0.40
0018,Ben Franklin Transit,VP,DO,Active,Richland,WA,188,"Kennewick-Richland, WA",85,"153,851",80,"150,000",2010,12,2010,"49,379,784","1,261,296",39.2,"$2,253,987","$2,959,089",$2.30,$1.80
0019,Intercity Transit,DR,DO,Active,Olympia,WA,195,"Olympia-Lacey, WA",92,"143,826",97,"155,000",2010,12,2010,"976,990","152,977",6.4,"$160,737","$5,830,989",$38.10,$1.10
0019,Intercity Transit,MB,DO,Active,Olympia,WA,195,"Olympia-Lacey, WA",92,"143,826",97,"155,000",2010,12,2010,"18,169,921","4,313,015",4.2,"$2,414,920","$20,466,991",$4.70,$0.60
0019,Intercity Transit,VP,DO,Active,Olympia,WA,195,"Olympia-Lacey, WA",92,"143,826",97,"155,000",2010,12,2010,"22,391,403","635,090",35.3,"$1,367,099","$1,579,199",$2.50,$2.20
0020,Kitsap Transit,DR,DO,Active,Bremerton,WA,169,"Bremerton, WA",118,"178,369",396,"237,000",2010,12,2010,"1,753,812","308,227",5.7,"$306,714","$7,614,950",$24.70,$1.00
0020,Kitsap Transit,DT,PT,Active,Bremerton,WA,169,"Bremerton, WA",118,"178,369",396,"237,000",2010,12,2010,"4,021",804,5.0,$822,"$18,122",$22.50,$1.00
0020,Kitsap Transit,FB,PT,Active,Bremerton,WA,169,"Bremerton, WA",118,"178,369",396,"237,000",2010,12,2010,"691,001","444,296",1.6,"$751,773","$1,811,449",$4.10,$1.70
0020,Kitsap Transit,MB,DO,Active,Bremerton,WA,169,"Bremerton, WA",118,"178,369",396,"237,000",2010,12,2010,"15,175,229","2,877,935",5.3,"$5,935,508","$17,589,787",$6.10,$2.10
0020,Kitsap Transit,VP,DO,Active,Bremerton,WA,169,"Bremerton, WA",118,"178,369",396,"237,000",2010,12,2010,"5,772,247","259,696",22.2,"$958,583","$1,354,908",$5.20,$3.70
0021,Whatcom Transportation Authority,DR,DO,Active,Bellingham,WA,301,"Bellingham, WA",35,"84,324",776,"195,272",2010,12,2010,"973,315","173,891",5.6,"$179,176","$6,047,996",$34.80,$1.00
0021,Whatcom Transportation Authority,DR,PT,Active,Bellingham,WA,301,"Bellingham, WA",35,"84,324",776,"195,272",2010,12,2010,0,0,0.0,$0,$0,$0.00,$0.00
0021,Whatcom Transportation Authority,DT,PT,Active,Bellingham,WA,301,"Bellingham, WA",35,"84,324",776,"195,272",2010,12,2010,"22,685","2,275",10.0,$101,"$54,514",$24.00,$0.00
0021,Whatcom Transportation Authority,MB,DO,Active,Bellingham,WA,301,"Bellingham, WA",35,"84,324",776,"195,272",2010,12,2010,"14,876,111","4,886,748",3.0,"$1,519,401","$14,763,313",$3.00,$0.30
0021,Whatcom Transportation Authority,VP,DO,Active,Bellingham,WA,301,"Bellingham, WA",35,"84,324",776,"195,272",2010,12,2010,"2,629,837","53,733",48.9,"$225,127","$256,729",$4.80,$4.20
0022,City of Pocatello - Pocatello Regional Transit,DR,DO,Active,Pocatello,ID,370,"Pocatello, ID",30,"62,498",27,"61,166",2010,9,2010,"753,199","107,146",7.0,"$49,821","$1,528,271",$14.30,$0.50
0022,City of Pocatello - Pocatello Regional Transit,MB,DO,Active,Pocatello,ID,370,"Pocatello, ID",30,"62,498",27,"61,166",2010,9,2010,"2,067,142","448,404",4.6,"$76,710","$889,074",$2.00,$0.20
0023,City of Seattle - Seattle Center Monorail Transit,MG,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205",83,"495,500",2010,12,2010,0,0,0.0,$0,$0,$0.00,$0.00
0023,City of Seattle - Seattle Center Monorail Transit,MO,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205",83,"495,500",2010,12,2010,"1,610,223","1,789,137",0.9,"$3,053,436","$2,709,895",$1.50,$1.70
0024,Clark County Public Transportation Benefit Area Authority,DR,DO,Active,Vancouver,OR,23,"Portland, OR-WA",474,"1,583,138",139,"366,035",2010,12,2010,"1,528,543","218,104",7.0,"$336,942","$7,800,955",$35.80,$1.50
0024,Clark County Public Transportation Benefit Area Authority,MB,DO,Active,Vancouver,OR,23,"Portland, OR-WA",474,"1,583,138",139,"366,035",2010,12,2010,"31,773,904","6,317,040",5.0,"$6,793,511","$28,235,748",$4.50,$1.10
0024,Clark County Public Transportation Benefit Area Authority,VP,DO,Active,Vancouver,OR,23,"Portland, OR-WA",474,"1,583,138",139,"366,035",2010,12,2010,"461,647","17,426",26.5,"$46,697","$94,926",$5.40,$2.70
0025,Salem Area Mass Transit District,DR,PT,Active,Salem,OR,145,"Salem, OR",69,"207,229",65,"206,500",2010,6,2010,"5,449,726","465,112",11.7,"$389,909","$11,044,498",$23.70,$0.80
0025,Salem Area Mass Transit District,MB,DO,Active,Salem,OR,145,"Salem, OR",69,"207,229",65,"206,500",2010,6,2010,"11,974,068","4,272,534",2.8,"$2,095,166","$17,904,498",$4.20,$0.50
0025,Salem Area Mass Transit District,VP,PT,Active,Salem,OR,145,"Salem, OR",69,"207,229",65,"206,500",2010,6,2010,"1,457,047","38,080",38.3,"$100,692","$190,234",$5.00,$2.60
0028,Pierce County Ferry Operations,FB,PT,Active,University Place,WA,14,"Seattle, WA",954,"2,712,205",233,"800,000",2010,12,2010,"824,272","195,859",4.2,"$1,168,672","$4,970,443",$25.40,$6.00
0029,Snohomish County Public Transportation Benefit Area Corporation,CB,PT,Active,Everett,WA,14,"Seattle, WA",954,"2,712,205",269,"700,840",2010,12,2010,0,0,0.0,$0,$0,$0.00,$0.00
0029,Snohomish County Public Transportation Benefit Area Corporation,DR,PT,Active,Everett,WA,14,"Seattle, WA",954,"2,712,205",269,"700,840",2010,12,2010,"2,277,241","217,648",10.5,"$280,741","$8,522,739",$39.20,$1.30
0029,Snohomish County Public Transportation Benefit Area Corporation,MB,DO,Active,Everett,WA,14,"Seattle, WA",954,"2,712,205",269,"700,840",2010,12,2010,"55,723,998","7,337,474",7.6,"$9,741,508","$66,725,954",$9.10,$1.30
0029,Snohomish County Public Transportation Benefit Area Corporation,MB,PT,Active,Everett,WA,14,"Seattle, WA",954,"2,712,205",269,"700,840",2010,12,2010,"33,338,458","1,642,463",20.3,"$11,969,219","$26,116,639",$15.90,$7.30
0029,Snohomish County Public Transportation Benefit Area Corporation,VP,DO,Active,Everett,WA,14,"Seattle, WA",954,"2,712,205",269,"700,840",2010,12,2010,"22,755,243","843,551",27.0,"$2,605,099","$3,693,738",$4.40,$3.10
0033,Senior Services of Snohomish County,DR,DO,Inactive,Mukilteo,WA,14,"Seattle, WA",954,"2,712,205",220,"460,551",2006,12,2006,"2,121,642","211,108",10.1,"$243,329","$5,865,066",$27.80,$1.20
0034,Rogue Valley Transportation District,DR,DO,Active,Medford,OR,210,"Medford, OR",59,"128,780",158,"150,000",2010,6,2010,0,0,0.0,$0,$0,$0.00,$0.00
0034,Rogue Valley Transportation District,DR,PT,Active,Medford,OR,210,"Medford, OR",59,"128,780",158,"150,000",2010,6,2010,"442,682","54,118",8.2,"$111,183","$1,837,201",$33.90,$2.10
0034,Rogue Valley Transportation District,MB,DO,Active,Medford,OR,210,"Medford, OR",59,"128,780",158,"150,000",2010,6,2010,"4,924,737","979,124",5.0,"$1,216,994","$4,772,691",$4.90,$1.20
0035,Washington State Ferries,FB,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","1,945","3,919,300",2010,6,2010,"175,703,172","22,614,325",7.8,"$36,402,916","$208,388,543",$9.20,$1.60
0040,Central Puget Sound Regional Transit Authority,CB,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","1,086","2,734,764",2010,12,2010,0,0,0.0,$0,$0,$0.00,$0.00
0040,Central Puget Sound Regional Transit Authority,CB,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","1,086","2,734,764",2010,12,2010,0,0,0.0,$0,$0,$0.00,$0.00
0040,Central Puget Sound Regional Transit Authority,CR,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","1,086","2,734,764",2010,12,2010,"59,579,234","2,480,052",24.0,"$7,134,458","$32,459,887",$13.10,$2.90
0040,Central Puget Sound Regional Transit Authority,DR,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","1,086","2,734,764",2010,12,2010,0,0,0.0,$0,$0,$0.00,$0.00
0040,Central Puget Sound Regional Transit Authority,LR,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","1,086","2,734,764",2010,12,2010,"871,189","873,073",1.0,,"$3,099,768",$3.60,
0040,Central Puget Sound Regional Transit Authority,LR,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","1,086","2,734,764",2010,12,2010,"55,508,693","6,958,832",8.0,"$9,608,740","$41,377,642",$5.90,$1.40
0040,Central Puget Sound Regional Transit Authority,MB,DO,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","1,086","2,734,764",2010,12,2010,"145,718,187","10,461,590",13.9,"$15,514,636","$81,390,458",$7.80,$1.50
0040,Central Puget Sound Regional Transit Authority,MB,PT,Active,Seattle,WA,14,"Seattle, WA",954,"2,712,205","1,086","2,734,764",2010,12,2010,"46,288,938","2,631,195",17.6,"$5,331,173","$14,094,123",$5.40,$2.00
0041,Alaska Railroad Corporation,AR,DO,Active,Anchorage,AK,135,"Anchorage, AK",79,"225,744",46,"225,744",2010,12,2010,"2,041,185","107,550",19.0,"$1,279,438","$2,975,749",$27.70,$11.90
0042,Targhee Regional Public Transit Authority,DR,DO,Active,Idaho Falls,ID,351,"Idaho Falls, ID",31,"66,973",70,"70,932",2010,9,2010,"473,110","89,815",5.3,"$33,956","$1,191,560",$13.30,$0.40
0042,Targhee Regional Public Transit Authority,MB,DO,Active,Idaho Falls,ID,351,"Idaho Falls, ID",31,"66,973",70,"70,932",2010,9,2010,"873,609","78,430",11.1,"$48,327","$681,892",$8.70,$0.60
0042,Targhee Regional Public Transit Authority,MB,PT,Active,Idaho Falls,ID,351,"Idaho Falls, ID",31,"66,973",70,"70,932",2010,9,2010,0,0,0.0,$0,$0,$0.00,$0.00
0043,Link Transit,DR,DO,Active,Wenatchee,WA,411,"Wenatchee, WA",27,"55,425","1,600","105,000",2010,12,2010,"244,131","60,551",4.0,"$40,614","$1,671,284",$27.60,$0.70
0043,Link Transit,DR,PT,Active,Wenatchee,WA,411,"Wenatchee, WA",27,"55,425","1,600","105,000",2010,12,2010,"88,087","9,403",9.4,"$12,328","$168,655",$17.90,$1.30
0043,Link Transit,MB,DO,Active,Wenatchee,WA,411,"Wenatchee, WA",27,"55,425","1,600","105,000",2010,12,2010,"12,144,671","959,201",12.7,"$643,373","$8,041,125",$8.40,$0.70
0044,Skagit Transit,CB,DO,Active,Burlington,WA,440,"Mount Vernon, WA",32,"51,174",760,"113,735",2010,12,2010,0,0,0.0,$0,$0,$0.00,$0.00
0044,Skagit Transit,DR,DO,Active,Burlington,WA,440,"Mount Vernon, WA",32,"51,174",760,"113,735",2010,12,2010,"431,435","74,250",5.8,"$13,804","$2,876,011",$38.70,$0.20
0044,Skagit Transit,MB,DO,Active,Burlington,WA,440,"Mount Vernon, WA",32,"51,174",760,"113,735",2010,12,2010,"4,827,772","544,281",8.9,"$376,793","$4,358,124",$8.00,$0.70
0044,Skagit Transit,VP,DO,Active,Burlington,WA,440,"Mount Vernon, WA",32,"51,174",760,"113,735",2010,12,2010,"3,655,065","87,354",41.8,"$308,403","$429,334",$4.90,$3.50
0045,Fairbanks North Star Borough Transit,DR,DO,Active,Fairbanks,AK,434,"Fairbanks, AK",43,"51,926","7,361","96,888",2010,6,2010,"148,170","21,110",7.0,"$40,597","$1,604,419",$76.00,$1.90
0045,Fairbanks North Star Borough Transit,MB,DO,Active,Fairbanks,AK,434,"Fairbanks, AK",43,"51,926","7,361","96,888",2010,6,2010,"2,888,877","383,649",7.5,"$381,079","$2,810,685",$7.30,$1.00
0046,South Metro Area Regional Transit,DR,DO,Active,Wilsonville,OR,23,"Portland, OR-WA",474,"1,583,138",80,"19,170",2010,6,2010,"71,910","16,946",4.2,"$8,255","$530,842",$31.30,$0.50
0046,South Metro Area Regional Transit,MB,DO,Active,Wilsonville,OR,23,"Portland, OR-WA",474,"1,583,138",80,"19,170",2010,6,2010,"2,575,092","289,475",8.9,"$156,176","$3,682,857",$12.70,$0.50
0047,City of Corvallis,DR,PT,Active,Corvallis,OR,393,"Corvallis, OR",29,"58,229",14,"55,125",2010,6,2010,0,0,0.0,$0,$0,$0.00,$0.00
0047,City of Corvallis,MB,PT,Active,Corvallis,OR,393,"Corvallis, OR",29,"58,229",14,"55,125",2010,6,2010,"3,388,516","700,820",4.8,"$462,844","$2,328,937",$3.30,$0.70
0049,"VPSI, Anchorage",VP,DO,Active,Anchorage,AK,135,"Anchorage, AK",79,"225,744",77,"218,145",2010,12,2010,"10,236,961","234,816",43.6,"$379,014","$883,188",$3.80,$1.60
0050,"City of Bend, Bend Area Transit",DR,PT,Active,Bend,OR,401,"Bend, OR",36,"57,525",32,"80,995",2010,6,2010,"175,461","49,524",3.5,"$82,725","$1,007,264",$20.30,$1.70
0050,"City of Bend, Bend Area Transit",MB,PT,Active,Bend,OR,401,"Bend, OR",36,"57,525",32,"80,995",2010,6,2010,,"327,904",,"$163,009","$1,489,094",$4.50,$0.50
0052,Metro,VP,PT,Active,Portland,OR,23,"Portland, OR-WA",474,"1,583,138","6,817","2,241,913",2010,6,2010,"1,703,364","42,104",40.5,"$111,908","$473,700",$11.30,$2.70
0053,Coeur d'Alene Tribe dba Citylink Transit,DR,DO,Active,Worley,ID,323,"Coeur d'Alene, ID","109,156,799","74,800",800,"137,000",2010,9,2010,0,0,0.0,$0,$0,$0.00,$0.00
